"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"0";"T001157";"2002KW04";"       .";"       .";"       ."
"1";"T001157";"2003KW01";"       .";"       .";"       ."
"2";"T001157";"2003KW02";"       .";"       .";"       ."
"3";"T001157";"2003KW03";"       .";"       .";"       ."
"4";"T001157";"2003KW04";"       .";"       .";"       ."
"5";"T001157";"2003JJ00";"       .";"";"       ."
"6";"T001157";"2004KW01";"       .";"       .";"       ."
"7";"T001157";"2004KW02";"       .";"       .";"       ."
"8";"T001157";"2004KW03";"       .";"       .";"       ."
"9";"T001157";"2004KW04";"       .";"       .";"       ."
"10";"T001157";"2004JJ00";"       .";"";"       ."
"11";"T001157";"2005KW01";"       .";"       .";"       ."
"12";"T001157";"2005KW02";"       .";"       .";"       ."
"13";"T001157";"2005KW03";"       .";"       .";"       ."
"14";"T001157";"2005KW04";"       .";"       .";"       ."
"15";"T001157";"2005JJ00";"       .";"";"       ."
"16";"T001157";"2006KW01";"    91.5";"       .";"       ."
"17";"T001157";"2006KW02";"    91.6";"     0.1";"       ."
"18";"T001157";"2006KW03";"    92.3";"     0.8";"       ."
"19";"T001157";"2006KW04";"    93.0";"     0.8";"       ."
"20";"T001157";"2006JJ00";"    92.1";"";"       ."
"21";"T001157";"2007KW01";"    93.4";"     0.4";"     2.1"
"22";"T001157";"2007KW02";"    93.9";"     0.6";"     2.6"
"23";"T001157";"2007KW03";"    94.3";"     0.4";"     2.1"
"24";"T001157";"2007KW04";"    94.9";"     0.7";"     2.1"
"25";"T001157";"2007JJ00";"    94.1";"";"     2.2"
"26";"T001157";"2008KW01";"    95.6";"     0.7";"     2.4"
"27";"T001157";"2008KW02";"    96.0";"     0.4";"     2.2"
"28";"T001157";"2008KW03";"    96.7";"     0.8";"     2.6"
"29";"T001157";"2008KW04";"    97.0";"     0.3";"     2.1"
"30";"T001157";"2008JJ00";"    96.3";"";"     2.3"
"31";"T001157";"2009KW01";"    96.8";"    -0.1";"     1.3"
"32";"T001157";"2009KW02";"    96.3";"    -0.6";"     0.3"
"33";"T001157";"2009KW03";"    96.5";"     0.2";"    -0.3"
"34";"T001157";"2009KW04";"    96.9";"     0.4";"    -0.1"
"35";"T001157";"2009JJ00";"    96.6";"";"     0.3"
"36";"T001157";"2010KW01";"    97.2";"     0.3";"     0.4"
"37";"T001157";"2010KW02";"    97.5";"     0.4";"     1.3"
"38";"T001157";"2010KW03";"    97.2";"    -0.3";"     0.8"
"39";"T001157";"2010KW04";"    97.7";"     0.5";"     0.9"
"40";"T001157";"2010JJ00";"    97.4";"";"     0.8"
"41";"T001157";"2011KW01";"    98.0";"     0.3";"     0.8"
"42";"T001157";"2011KW02";"    98.3";"     0.3";"     0.8"
"43";"T001157";"2011KW03";"    98.2";"    -0.1";"     0.9"
"44";"T001157";"2011KW04";"    98.0";"    -0.2";"     0.2"
"45";"T001157";"2011JJ00";"    98.1";"";"     0.7"
"46";"T001157";"2012KW01";"    97.8";"    -0.1";"    -0.2"
"47";"T001157";"2012KW02";"    98.3";"     0.5";"     0.1"
"48";"T001157";"2012KW03";"    98.1";"    -0.3";"    -0.1"
"49";"T001157";"2012KW04";"    98.4";"     0.4";"     0.5"
"50";"T001157";"2012JJ00";"    98.2";"";"     0.1"
"51";"T001157";"2013KW01";"    98.6";"     0.2";"     0.8"
"52";"T001157";"2013KW02";"    98.7";"     0.1";"     0.4"
"53";"T001157";"2013KW03";"    98.9";"     0.2";"     0.9"
